¿Quién fue el primer presidente de los Estados Unidos?,Thomas Jefferson,John Adams,James Madison,George Washington
¿En qué año cayó el Muro de Berlín?,1985,1987,1988,1989
¿Quién 'descubrió' América en 1492?,Amerigo Vespucci,Vasco da Gama,Ferdinand Magellan,Cristóbal Colón
¿En qué país tuvo lugar la Revolución Industrial?,Francia,Alemania,Bélgica,Reino Unido
¿Cuál fue el último faraón de Egipto?,Tutankamón,Ramsés II,Akhenatón,Cleopatra
¿En qué año comenzó la Primera Guerra Mundial?,1910,1912,1915,1914
¿Quién fue el líder del movimiento de independencia de la India?,Indira Gandhi,Nehru,Bhagat Singh,Mahatma Gandhi
¿Cuál fue el imperio más grande de la historia?,Imperio Romano,Imperio Otomano,Imperio Ruso,Imperio Británico
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?,1774,1775,1777,1776
¿Quién escribió la obra 'El Príncipe'?,Sócrates,Platón,Aristóteles,Nicolás Maquiavelo
