¿Quién ha ganado más Copas del Mundo de la FIFA?,Alemania,Italia,Uruguay,Brasil
¿En qué año se celebraron los primeros Juegos Olímpicos modernos?,1900,1912,1920,1896
¿Quién es el máximo goleador en la historia de la NBA?,Kobe Bryant,Michael Jordan,LeBron James,Kareem Abdul-Jabbar
¿Cuál es el equipo de fútbol más exitoso de la Premier League?,Liverpool,Arsenal,Chelsea,Manchester United
¿En qué deporte se utiliza una raqueta y una pelota con plumas?,Tenis,Padel,Ping Pong,Bádminton
¿Cuál es el evento deportivo más visto en televisión en todo el mundo?,Super Bowl,Juegos Olímpicos,Serie Mundial,Copa Mundial de la FIFA
¿Quién ha ganado más títulos de Grand Slam en tenis?,Novak Djokovic,Roger Federer,Pete Sampras,Rafael Nadal
¿En qué país se originó el críquet?,Australia,India,Sudáfrica,Inglaterra
¿En qué deporte se utiliza una bicicleta en competición en pista?,Mountain Bike,BMX,Cross Country,Ciclismo en pista
¿Quién fue el primer piloto en ganar 7 títulos mundiales de Fórmula 1?,Alain Prost,Ayrton Senna,Sebastian Vettel,Michael Schumacher
