¿Quién dirigió la película 'Titanic'?,Steven Spielberg,Martin Scorsese,Quentin Tarantino,James Cameron
¿Qué serie de televisión tiene más temporadas?,Friends,Breaking Bad,The Office,Los Simpson
¿Quién interpretó a Jack Sparrow en 'Piratas del Caribe'?,Leonardo DiCaprio,Brad Pitt,Tom Hanks,Johnny Depp
¿En qué año se lanzó la primera película de 'Harry Potter'?,1999,2003,2005,2001
¿Cuál es la banda que escribió la canción 'Bohemian Rhapsody'?,The Beatles,The Rolling Stones,AC/DC,Queen
¿Quién ganó el Oscar a Mejor Actor en 2020?,Brad Pitt,Leonardo DiCaprio,Antonio Banderas,Joaquin Phoenix
¿En qué serie de televisión aparece el personaje 'Walter White'?,Mad Men,True Detective,House of Cards,Breaking Bad
¿Quién es el autor de 'Juego de Tronos'?,J.R.R. Tolkien,C.S. Lewis,Patrick Rothfuss,George R.R. Martin
¿En cuál de estas películas aparece el actor 'Benjamin Buford Blue'?,El Padrino,Pulp Fiction,The Shawshank Redemption,Forrest Gump
¿Quién dirigió la trilogía de 'El Señor de los Anillos'?,George Lucas,James Cameron,Steven Spielberg,Peter Jackson
