¿Cuál es el planeta más grande del sistema solar?,Marte,Tierra,Venus,Júpiter
¿Quién es conocido como el padre de la teoría de la relatividad?,Isaac Newton,Niels Bohr,Galileo Galilei,Albert Einstein
¿Cuál es la sustancia más dura en la Tierra?,Acero,Hierro,Oro,Diamante
¿En qué año se descubrió la estructura del ADN?,1933,1945,1952,1953
¿Cuál es el elemento químico más abundante en el universo?,Oxígeno,Carbono,Nitrógeno,Hidrógeno
¿Quién desarrolló la teoría de la evolución por selección natural?,Gregor Mendel,Jean-Baptiste Lamarck,Alfred Russel Wallace,Charles Darwin
¿Cuál es la velocidad de la luz en el vacío?,100.000 km/s,200.000 km/s,300.000 km/s,299.792 km/s
¿Qué partícula subatómica tiene una carga negativa?,Protones,Neutrones,Quarks,Electrones
¿En qué año se lanzó el primer satélite artificial el Sputnik 1?,1955,1956,1958,1957
¿Cuál es el órgano más grande del cuerpo humano?,Corazón,Hígado,Pulmón,Piel
